country,institution,programme_name_exact,min_prior_ects,accepts_3yr_bachelor,entry_requirement_note,source_url
France,IESEG School of Management,Master in AI & Data Analytics for Business,180,yes,"Explicit track rule: the Regular Track is ""mandatory for participants who have 3 years of higher education (3-year Bachelor, Licence/'Bac+3') validated by an official degree equivalent to 180 ECTS credits""; the Fast Track (exemption from the 3rd term) is only for those with ""4 years of higher education ... equivalent to at least 240 ECTS credits"". A 180-ECTS Licence holder is admissible but is locked into the longer Regular Track (EUR 23,300 vs EUR 20,300). Subject entry: Bachelor in Business Administration, Engineering, Computer Science, IT, Mathematics, Statistics or similar.",https://www.ieseg.fr/en/programs/specialized-masters/master-ai-data-analytics-business/program-content/
France,Ecole Polytechnique (Institut Polytechnique de Paris) and HEC Paris,Master of Science Data Science & AI for Business (X-HEC),NOT_FOUND,yes,"Admissions page states only that candidates must ""hold at least a Bachelor's degree from an accredited institution"" (Bachelor in Science, Engineering, Business or Economics) and demonstrate ""a strong level in Mathematics"". No minimum credit volume and no 4-year/240-ECTS requirement is published; the floor is therefore unstated rather than absent.",https://www.hec.edu/en/master-s-programs/master-science-data-science-ai-business-x-hec/admissions
France,Universite Paris Dauphine-PSL,"Master Systemes d'information, Reseaux et Numerique (M2 parcours Big Data et Digital Economy)",240,no,"HARD EXCLUSION at this entry point. Direct M2 recruitment at Dauphine-PSL is open to ""Students who have completed a BAC+4 degree (a four-year degree worth 240 ECTS credits)"" or equivalent; holders of BAC+5 (300 ECTS) may also be considered. A 180-ECTS Licence does not qualify for M2. Dauphine's central master admissions page explicitly directs Bachelor holders elsewhere: ""Nous invitons les etudiants venant d'un Bachelor a postuler directement en MASTER 1"" - i.e. the applicant must enter at M1 (which requires 180 ECTS) and complete M1 before this M2. Quote taken from the admissions page of a sibling M2 in the same mention (Systemes d'information, Reseaux et Numerique); the Big Data et Digital Economy page carries no separate admissions tab.",https://dauphine.psl.eu/en/training/masters-degrees/information-systems-networks-and-digital-technology/116-masters-year-2-network-industries-and-the-digital-economy/admissions
Germany,University of Cologne,Business Analytics & Econometrics,180,yes,"180-ECTS bachelor accepted. No 210/240 floor. Subject-specific credit requirement, one of two options must be met: (1) ""mindestens 30 ECTS aus den Fachgebieten Betriebswirtschaftslehre und/oder Volkswirtschaftslehre"" PLUS ""mindestens 24 ECTS aus den Fachgebieten Statistik und/oder Mathematik und/oder Wirtschaftsinformatik und/oder Informatik""; or (2) ""mindestens 48 ECTS"" from the statistics/maths/business-informatics/computer-science group. Minimum GPA 2.5 (German scale). Applicants not yet graduated must show 80% of credits (144 of 180).",https://wiso.uni-koeln.de/de/studium/bewerbung/master/master-business-analytics-and-econometrics
Germany,University of Muenster,Information Systems,180,yes,"Zugangs- und Zulassungsordnung vom 15.01.2024, Sec. 2(1): access requires ""die Absolvierung eines fachlich einschlaegigen Studiums mit einer Regelstudienzeit von mindestens sechs Semestern"" completed with a bachelor or other professionally qualifying degree at grade 2.9 or better. Six semesters = 180 ECTS, so a 3-year 180-ECTS degree meets the volume requirement exactly. Subject-specific: ""mindestens 72 Leistungspunkte aus den Fachgebieten Quantitative Methoden, Computer Science, Information Systems und Business Administration"", of which ""mindestens 24 Leistungspunkte aus dem Gebiet des gewaehlten Schwerpunktes (Major)"". Credits are mapped by competence, not module title. C1 English required.",https://www.uni-muenster.de/imperia/md/content/wwu/ab_uni/beitrag240304.pdf
Germany,ESMT Berlin,Master's in Analytics and Artificial Intelligence,NOT_FOUND,NOT_FOUND,"Admissions page requires only ""A previous degree (at least Bachelor's equivalent) with excellent grades"" plus evidence of strong quantitative skills (BAT/GMAT/GRE may be required). No ECTS volume, no years-of-study minimum and no statement on 3-year degrees is published anywhere on the programme or admissions pages. AMBIGUOUS - as a private German business school ESMT is not bound by the state 210-ECTS conventions, but this must be confirmed directly with admissions@esmt.org before relying on it.",https://esmt.berlin/master-programs/master-analytics-artificial-intelligence/admissions
Liechtenstein,University of Liechtenstein,MSc Information Systems,NOT_FOUND,NOT_FOUND,"Programme page states only: ""you need to have successfully completed a relevant bachelor's degree or another equivalent higher education qualification, as well as English language skills at level B2"". No ECTS volume is published on the programme page or the central Application and Admission page; the university's Zulassungsrichtlinien Masterstudium and the programme's legal regulation (linked as uni.li/en/legal?id=304.67) could not be retrieved (404 / no content served). AMBIGUOUS - secondary indications point to a 180-ECTS minimum in line with other uni.li master programmes (e.g. MSc Entrepreneurship, Innovation and Leadership requires 180 ECTS incl. 60 ECTS business subjects), but this was NOT confirmed on an official page and must be verified with master.information-systems@uni.li.",https://www.uni.li/en/studies/study-programmes/msc-information-systems
Portugal,Catolica-Lisbon School of Business and Economics - Universidade Catolica Portuguesa,MSc in Business Analytics,NOT_FOUND,NOT_FOUND,"No credit floor published. Admissions page describes a ""Qualitative Evaluation Process"" in which ""the CV is the most valued document"" and lists required documents (CV in English, ""Transcript of Records (courses, grades, and ECTS)"", application fee). The FAQ asks for ""an undergraduate degree within the last three years"" - a recency condition, not a duration or credit condition - and ""recommend[s] a bachelor degree in Management, Economics or other quantitative background"". Portuguese second-cycle access is governed by DL 65/2018 art. 17 (holders of a licenciatura, normally 180 ECTS in Portugal, or an equivalent foreign first-cycle Bologna degree), which is favourable, but Catolica-Lisbon publishes no programme-level number.",https://www.clsbe.lisboa.ucp.pt/master-science-business-analytics/admissions
Portugal,Nova School of Business and Economics (Nova SBE) - Universidade NOVA de Lisboa,Master's in Business Analytics,NOT_FOUND,NOT_FOUND,"No credit floor published. The Masters Eligibility page states only that ""Programs target candidates with 0-2 years of professional experience"", that ""Nova SBE reserves the right to admit only applicants from accredited and/or recognized schools"", and that a B2 English certificate is required. Programme-level entry is described by background, not credits: candidates from first-cycle programmes in Sciences, Technology, Engineering, Mathematics, Economics, Finance or Management, with maths and programming at entry level; a mandatory Python/Coding bridging course in August for those with limited programming. Enrolment is conditional on delivering an official Licenciatura completion certificate within the first month of classes.",https://www.novasbe.unl.pt/en/programs/apply/masters/eligibility
Spain,UPF Barcelona School of Management - Universitat Pompeu Fabra,Master of Science in Management specialization in Business Analytics,NOT_FOUND,yes,"No ECTS floor - and notably NOT the Spanish 240-ECTS grado volume. UPF's official master access requirement is a ""Titol universitari oficial de grau o de master universitari de l'Espai Europeu d'Ensenyament Superior (EEES) o titol estranger equivalent que permeti accedir a un postgrau universitari en el pais que ha expedit el titol"" - i.e. a foreign degree qualifies on the test of whether it grants access to postgraduate study in the issuing country, not on credit count. A Tunisian 3-year Licence grants access to a Mastere in Tunisia and so meets the stated criterion, subject to UPF's equivalence check (non-EHEA degrees without homologation require a request for recognition of equivalence of level).",https://www.upf.edu/web/masters/1_requisits
Spain,Esade Business School - Universitat Ramon Llull,Master of Science in Business Analytics,NOT_FOUND,yes,"No ECTS floor published. Admissions page: ""An undergraduate degree that entitles you to undertake postgraduate studies in the degree-granting country is a necessary requirement for admission."" The test is postgraduate-access entitlement in the issuing country, not credit volume, so a Tunisian 180-ECTS Licence satisfies the published wording. Subject profile: business administration or a strongly scientific/technical background (engineering, mathematics, statistics, physics, bioinformatics, computer programming, computer science, information systems). Non-business backgrounds take the Business Integration Path (BIP); business backgrounds take the Pre-Program in Data Science.",https://www.esade.edu/master-of-science/en/admissions
Spain,IE University - IE School of Science and Technology,Master in Business Analytics and Data Science,NOT_FOUND,yes,"No ECTS floor published. The admissions requirement is simply ""Bachelor degree from an accredited university"" (with a footnote that ""Possible additional legalization and/or translation requirements might be applicable""), plus official transcripts, CV, personal statement, two references, GMAT/GRE/ieGAT entrance exam and English certificate (TOEFL 100+/IELTS 7+/Duolingo 130+). No duration, credit-count or 240-ECTS grado condition appears anywhere in the admissions and fees page.",https://www.ie.edu/school-science-technology/programs/master-business-analytics-data-science/admissions-fees/
